Title,Summary,Source,Source,Topic,Business line
Valsoft Enters the Aviation Vertical With the Acquisition of Commsoft OASES,"Valsoft Corporation Inc. (“Valsoft”), a Montreal-based company specializing in the acquisition and development of vertical market software businesses, is pleased to announce the acquisition of Communications Software (Airline Systems) Limited (Commsoft OASES), a leader in the aviation engineering and maintenance software market, based in Tiptree, UK.",GlobeNewswire,GlobeNewswire,M&A,Generic
New pilot assistance system reduces noise and fuel consumption during airplane landings,The German Aerospace Center (DLR) has developed the pilot assistance system LNAS (Low Noise Augmentation System) in order to “to support pilots as they perform the complex procedures required for a low-noise approach.”,Innovation Origins,Innovation Origins,New technology,Generic
Aviation security is taking off—and taking after car security,"The hackers, security researchers, government organizations, and private airlines involved in the aviation-hacking exhibition of the world’s largest hacking confab, held here in August, all say the chances of your next commercial flight getting hacked are extremely small.",The Parallax,The Parallax,Cybersecurity,Generic
Able Aerospace Opens $9M Facility Expansion,"Able Aerospace Services has opened a $9 million building expansion at its headquarters facility at Phoenix-Mesa Gateway Airport (IWA) in Arizona, the unit of Textron Aviation announced this week.",Aviation International News,Aviation International News,Expansion,Generic
Inside MRO News Briefs And Contracts October 2019,Rolls-Royce is fast-tracking the removal of certain older Trent 1000 intermediate-pressure turbine (IPT) blades and modifying its blade-life calculation methods in the aftermath of a Norwegian Air Boeing 787 engine failure near Rome linked to blades that cracked before established life limits.,MRO Network,MRO Network,Market,Generic
Permira's Buyout Of Topcast Aviation Supplies Company Limited,"Clifford Chance advised Permira on the buyout of Topcast Aviation Supplies Company Limited and its affiliates, the largest independent aircraft parts distributor in Asia Pacific.",Global Legal Chronicle,Global Legal Chronicle,M&A,Generic
Saab to hold meetings with Indian firms for making Gripen E aircraft,Saab is in the fray for a contract to supply around 110 fighter planes to India under the Multi Role Fighter Aircraft (MRFA) programme. ,Economic Times,Economic Times,Aircraft sales,Military
Horizon Air and Embraer Sign Heavy Maintenance Services Agreement,"Embraer announced that Horizon Air, a subsidiary of Alaska Air Group, has selected Embraer Aircraft Maintenance Services (EAMS) in Nashville, Tennessee, as the exclusive heavy maintenance provider for the company’s fleet of 30 Embraer E175 aircraft.",Aviation Tribune,Aviation Tribune,Contract,Comercial
Lockheed Martin deploys new Cyber Resiliency programme,Programme developers at Lockheed Martin have released a new cyber resiliency framework that company officials say will enable the US armed forces and militaries across the globe to measure a weapon systems' viability to counter cyber threats., Jane's 360, Jane's 360,Cybersecurity,Military
Airbus inicia testes a bordo de tecnologias de cabine conectadas,A Airbus iniciou os testes em voo das tecnologias de cabine conectadas à Internet das coisas (IoT) a bordo da aeronave A350-900 Flight Lab - a ser revelada em breve aos clientes.,Aeroflap,Aeroflap,New technology,Comercial
The US just approved the $6.5 billion sale of 32 F-35 fighter jets to Poland,"In April, the Pentagon told Congress it was considering selling the jets to the European nation, a NATO member, as well as Greece, Romania, Spain and Singapore.",Business Insider,Business Insider,Aircraft sales,Military
Safran Singapore wins Sri Lanka Airbus landing gear contract,Safran Landing Systems Services Singapore has won a deal to repair landing gear of Airbus A330-220 aircraft operated by state-run SriLankan Airlines.,EconomyNext,EconomyNext,Contract,Comercial
Boom Test Pilot Talks Supersonic Interface for XB-1 Demonstrator,"As Boom Supersonic prepares for the planned rollout of its XB-1 demonstrator aircraft in December and first flight next year, Avionics International caught up with Chris “Duff” Guarente, a test pilot for the Denver, Colorado-based company, to discuss how they’re using a full flight simulator to help develop XB-1’s pilot interface.",Aviation Today,Aviation Today,New technology,Generic
"Ukraine: Aviation Sector Update, Ukraine","During the summer 2019 the Cabinet of Ministers and State Aviation Service (SAS) of Ukraine adopted several important bylaws further harmonising Ukrainian legislation with European Union Aviation Safety Agency (EASA) standards and, in certain cases, responding to market pressure.",Mondaq News Alerts,Mondaq News Alerts,Regulation,Generic
"Precision Aviation Group, Inc. acquires Momentum Services Corporation","Precision Aviation Group, Inc. (PAG), a leading provider of products and value-added services to the worldwide aerospace and defense industry announced today the acquisition of Momentum Services Corporation (MSC), a provider of repair services for LCD Flat Panel Displays.  ",AirMed and Rescue Magazine,AirMed and Rescue Magazine,M&A,Generic
FL Technics wins EASA approval for line maintenance of the Airbus A320neo family,"FL Technics, the Lithuanian provider of aircraft maintenance, repair and overhaul (MRO) services, has extended its EASA Part-145 approval for line maintenance of the Airbus A320neo family of aircraft powered by both the CFM International LEAP-1A and Pratt & Whitney PW 1100G engines.",www.rusaviainsider.com,www.rusaviainsider.com,Contract,Comercial
Viasat offers Ku Advanced Network to double in-flight connectivity to aviation customers,"Viasat Inc. (NASDAQ: VSAT), a global communications company, has announced new increased speeds, service packages and hardware incentives for new and existing Ku-band customers, the company said.",FinancialNews.co.uk,FinancialNews.co.uk,New service,Generic
BAE Revises Maintenance Program For CFM56-7B Engine Controls,"With older aircraft and engines flying longer, new maintenance methods may be necessary to maintain top performance. BAE Systems recently launched a new MRO program for the CFM56-7B FADEC III engine controls on Boeing 737NGs.",MRO Network,MRO Network,New service,Comercial
Western Aircraft is Named Lifeport Authorized Customer Support Center,"Western Aircraft announced it can now provide maintenance, repair, overhaul, modification and parts for air ambulances equipped with LifePort Air Medical Equipment.",AviationPros.com,AviationPros.com,Contract,Other
SKYTRAC and GigSky announce aviation communication deal,SKYTRAC Systems Ltd. and GigSky Inc. have launched a partnership that the companies say is ‘set to deliver highly available mission-critical data to the aviation industry through global high-speed cellular connectivity’,AirMed and Rescue Magazine,AirMed and Rescue Magazine,Contract,Generic
Opinion: Are Communication Networks Ready For eVTOL?,Air-taxi operations will require each eVTOL vehicle to stream live telemetry data to central operations centers for human oversight.,MRO Network,MRO Network,VTOL,Other
Dassault Aviation Names New DFJ CEO,"The Dassault Falcon Jet board named Thierry Betbeze CEO of its division, a Dassault Aviation subsidiary, among news of mixed success for the business unit in the first half of 2019.",Flying Magazine,Flying Magazine,Team,Generic
Why The Airbus A330neo Is Changing Commercial Aviation,"The A330neo series is a brand new aircraft line from Airbus and is an update to their successful A330 line. Much like the A320 upgrade to the A320neo, the A330neo brings a whole heap of new features that airlines and passengers will love.",Simple Flying,Simple Flying,New aircraft,Comercial
5 things we learned from this week's World Aviation Festival,"The World Aviation Festival wrapped up in London, UK on Friday. Despite its relatively small size compared with the likes of the epic ITB Berlin event, the event attracted an impressive list of high profile airline executives from the likes of Emirates, Virgin Atlantic and JetBlue.",The Points Guy UK,The Points Guy UK,Events,Comercial
Australian Aviation Agency Looks To Simplify Regulatory Structure,"Authority issues revised guidance for reporting defects, continues to pursue regulatory reform.",MRO Network,MRO Network,Regulation,Generic
MOD Signs £100m Contract To Test RAF's Protector Aircraft,It will be the first remotely controlled aircraft capable of attacking targets anywhere in the world and is expected to be in service with the Royal Air Force by 2024.,Forces Network,Forces Network,UAV,Military
LEAP Engine in Aero Norway's Thoughts,The independent engine specialist also expects to induct more than 100 CFM56 engines this year.,MRO Network,MRO Network,Product,Generic
"As Criticism Mounts, Boeing Looks to Keep Pace With KC-46 Deliveries","Following years of delays and high-profile snafus, the Boeing Co. is predicting the KC-46 Pegasus aerial refueling tanker program will meet its key performance goals.",National Defense Magazine,National Defense Magazine,Aircraft sales,Military
Estados Unidos querem verificações em motores Pratt & Whitney devido à vazamento de óleo,"A Administraçãoo Federal de Aviação dos EUA (FAA) deve exigir verificações de alguns motores da Pratt & Whitney, da série Pure Power, depois que vazamentos de óleo causaram dois desligamentos do motor durante voo.",Aeroflap,Aeroflap,Reliability issues,Generic
Boeing's Slow Jet Sales Cut Key Demand Gauge to 2009 Levels,"Slowing jetliner sales at Boeing Co. have sent its book-to-bill ratio, a measure of demand, plunging to levels not seen since the 2009 recession.",Bloomberg,Bloomberg,Financial,Comercial
DynCorp awarded support work for USN training aircraft,"DynCorp is being awarded an $88.7 million contract modification to provide organisational, intermediate, and depot-level maintenance and logistics support for US Navy training aircraft. ",Shephard Media,Shephard Media,Contract,Military
Meeting Challenges of New Aero Engine Designs,"The aerospace industry is continually challenged to improve quality, reliability, performance, fuel efficiency and lower turbine engine emissions. This is driving engine manufacturers to consider fiber laser welding and the possibility to automate their welding processes to improve consistency and part quality.",Advanced Manufacturing,Advanced Manufacturing,New technology,Generic
FAA considera verificações no motor do Airbus A220,"Um problema em motor no modelo Airbus A220 levou a a Administração Federal de Aviação – FAA, entidade governamental dos Estados Unidos, a considerar uma solicitar de verificações dos equipamentos. Ao menos duas ocorrências foram registradas nos últimos meses.",Via Trolebus,Via Trolebus,Reliability issues,Comercial
Centre of gravity concerns on Airbus A320neo,Lufthansa has stopped selling the last row of seats on its Airbus A320neos due to issues regarding the aircraft’s centre-of-gravity limitations.,HMG Aerospace,HMG Aerospace,Reliability issues,Comercial
SA-developed 'flying boomerang' will revolutionise aircraft design,Aeronautical engineer Malcolm Brown says the revolutionary Flying V will see passengers actually sitting in the wings.,Citizen,Citizen,R&D,Comercial
Volocopter raises $55 million to commercialize flying taxis,"Volocopter, a German company that’s developing electric takeoff and landing (eVTOL) aircraft, announced it has raised €50 million ($55 million) in a series C round of funding led by Chinese automotive company Zhejiang Geely, which owns such well-known car brands as Volvo and Lotus.",VentureBeat,VentureBeat,VTOL,Other
Nomad Technics receives approval for maintenance in the Cayman Islands,"Nomad Technics AG has been awarded maintenance certification by the Civil Aviation Authority of the Cayman Islands (CAA-CI). Since the Swiss aircraft maintenance company met the Overseas Territory Aviation Requirements, it is now allowed to carry out maintenance inspection and non-routine repair work in the region.",Air & Cosmos,Air & Cosmos,Contract,Comercial
Boeing announces winners of innovation program,InfyU Labs of IIT Madras and Pi Drones of Kanpur emerged victorious under students and startups category respectively.,The Hindu BusinessLine,The Hindu BusinessLine,Startup,Generic
Airbus A220 & Embraer E2 Engines Receive Airworthiness Directive,The Federal Aviation Administration (FAA) has issued an airworthiness directive (AD) for the Pratt & Whitney engines that powers the Airbus A220 and Embraer E2 190/95.,Sam Chui,Sam Chui,Airworthiness Directive,Comercial
Embraer diz que existe mercado para avião de 50 assentos,"De acordo com diversas publicações no Brasil e no exterior, a Embraer estaria estudando um avião comercial na faixa de 50 assentos, substituindo assim a família ERJ-145, lançada em meados dos anos 1990.",AERO Magazine,AERO Magazine,New Aircraft,Comercial
Belavia to expand fleet with second-generation Embraer 195,"intends to buy the latest second-generation aircraft Embraer 195 (E195-E2),.The latest E195-E2 boasts the quietest cabin (50% quieter than planes of the first.The Belarusian air company Belavia bought the first Embraer plane in 2012..Martin Holmes, Embraer Commercial Aviation Vice President for Europe,Â",Belarus News (BelTA),Belarus News (BelTA),Contract,Comercial
Embraer may reopen jet assembly line in China,"That's why the E195-E2, its largest commercial airliner, started a long tour of.Embraer has produced the ERJ-145 in partnership with Harbin for 14 years,.Chinese jet has just been ordered by 105 aircraft from three Chinese airlines,.Chinese aircraft such as ARJ21 may compete with local aviation market (Xu Zheng)",Airway1,Airway1,Aircraft sales,Executive
Dassault Aviation keeps 2019 targets as profit rises,"The maker of Rafale warplanes and Falcon business jets said its adjusted operating income for the first six months of the year stood at 250 million euros ($278.6 million), up from 111 million euros a year ago.",Reuters,Reuters,Financial,Generic
Emirates President Slams Airbus and Boeing for Lack of Reliability,"Emirates President Tim Clark on Wednesday sharply criticized Boeing and Airbus along with engine suppliers Rolls-Royce and General Electric for failing to make reliable products, saying the companies may lose business as the global economy slows and airlines become more selective about which planes they will accept.",Skift,Skift,PR,Comercial
Duncan Aviation's ADS-B Countdown Is On,"Duncan Aviation’s ADS-B countdown is on. As of today, the FAA’s mandate to upgrade your business aviation aircraft to Automatic Dependent Surveillance-Broadcast (ADS-B) is 17 weeks away.",AviationPros.com,AviationPros.com,Regulation,Executive
Brazil Civil Aviation Authority recognizes Embraer with certification for Praetor 500,"Brazil-based airline Embraer has announced its new Praetor 500 midsize business jet has been granted Type Certification by Brazil´s Civil Aviation Authority (ANAC–Agência Nacional de Aviação Civil), the company said.",FinancialNews.co.uk,FinancialNews.co.uk,Self-awareness,Executive
YDreams Signs New Project with Aerospace Manufacturer Embraer S.A.,"YDX Innovation Corp is pleased to announce that YDreams Global, a company part of the YDX Innovation Group, has been commissioned to design a Historical Center for the Brazilian aerospace conglomerate Embraer S.A. (ERJ).",Investing News Network,Investing News Network,Self-awareness,Generic
Dassault Aviation: Thierry Betbeze Named CEO Dassault Falcon Jet,"The Dassault Falcon Jet (DFJ) Board of Directors has appointed Thierry Betbeze, CEO of the wholly owned Dassault Aviation subsidiary, which is responsible for Falcon business aircraft marketing, sales and support in the Americas.",GlobeNewswire,GlobeNewswire,Team,Generic
Just-Launched German Company Will Revive Production of Dornier 328 Aircraft,"A new aircraft manufacturer, called DRA, has been launched to develop an updated version of the Dornier 328 aircraft, known as the D328NEU. DRA is being set up by 328 Support Services GmbH, a subsidiary of the Sierra Nevada Corp. in partnership with the German government.",Assembly Magazine,Assembly Magazine,Product,Comercial
Why Norway’s Widerøe Could Become An All Electric Airline,"Announced on August 28th, Scandinavia’s largest regional airline Widerøe has gone into partnership with UK engineering firm Rolls Royce to develop an electric aircraft for the future. With an aging fleet of turboprop planes and a network of STOL airports, Widerøe says that Norway is the perfect testbed for a future proof, climate-friendly short hop innovation.",Simple Flying,Simple Flying,R&D,Comercial
Regulator discord could delay the return of Boeing's MAX jets,"Nearly six months after its 737 MAX jets were grounded, Boeing is now close to applying to recertify the aircraft, according to sources, but the timeframe for flights to resume remains murky.",Tech Xplore,Tech Xplore,Regulation,Comercial
Lockheed Martin puts $3m towards VTOL research,Lockheed Martin has donated $3m to the University of Maryland’s school of engineering to fund ongoing research into vertical take-off and landing (VTOL) technology.,Airforce Technology,Airforce Technology,R&D,Other
Dassault Aviation SA (ENXTPA:AM) Has Posted Profit Growth of,In deep diving into the profits for Dassault Aviation SA (ENXTPA:AM) we can see that the trailing 12 months net profit growth stands at -0.19213.  ,Stock Muse,Stock Muse,Financial,Generic
Largest engine test cell in the world takes shape,"The construction of the largest indoor aviation test facility of its type in the world, being built by Canadian firm MDS for Rolls-Royce in Derby, UK has achieved a significant milestone with the installation of its augmentor tube. ",Aerospace Testing International,Aerospace Testing International,Product,Generic
Regulators to Urban Air Mobility Industry: ‘We Want to Become More Agile’,"Industry and regulatory leaders in urban air mobility (UAM) gathered this week at the Global Urban Air Summit in Farnborough, with regulators stressing their commitment to matching industry's pace but underlining the litany of challenges faced by the emerging market.",Aviation Today,Aviation Today,Regulation,Other
After Norwegian Trent 1000 fallout â€’ new safety recommendations,"Italian authorities have issued three recommendations to increase Rolls-Royce Trent 1000 engine safety, following a serious incident in August 2019. At the time, left engine on Norwegian Air Shuttle Boeing 787-8 broke down shortly after take-off, pouring 4 kg of debris on Italian city streets.",AeroTime News Hub,AeroTime News Hub,Regulation,Comercial
Personal human flight: Science fiction becomes reality,"Lost amid the contentious rhetoric in Washington is a bill before Congress that actually has bipartisan support. America's Transportation Infrastructure Act of 2019 is a $287 billion spending bill to fund highways, bridges and tunnels, with grant programs to provide infrastructure for hybrid, electric and alternative-fueled vehicles.",CNN,CNN,Tech. Info,Generic
AeroMobil Set To Unveil 6.0 eVTOL Aircraft Design,"Flying car developer AeroMobil is working on a new eVTOL aircraft design that would be the Slovakian company’s first flight-mode-only vehicle. At the Global Urban Air Summit in the UK today, company executives told AIN they expect to unveil a scaled model of the new AeroMobil 6.0 within a few months.",Aviation International News,Aviation International News,VTOL,Generic
"FAA, UAS Partners Complete Successful Demos","The Federal Aviation Administration (FAA), NASA and their partners in a pilot program that is laying the groundwork for an Unmanned Aircraft Systems (UAS) traffic management system successfully demonstrated how such a system can work in the future.",AviationPros.com,AviationPros.com,Regulation,Other
Researchers Develop Technique to Efficiently De-Ice Surfaces in Seconds,"Airplane wings, wind turbines, and indoor heating systems all struggle under the weight and chill of ice. Defrosting and de-icing techniques are energy-intensive, however, and often require large masses of ice to melt completely in order to work. Researchers from the University of Illinois and Kyushu University in Japan have developed a new technique that requires only a thin layer of ice at the interface of a surface to melt, allowing it to slide off under the force of gravity.",SciTechDaily,SciTechDaily,R&D,Generic
X-Crafts Embraer ERJ Family Updated to Version 1.1.2,"The 1.1.2 update now allows people to switch between LB/KG on the MFD and EICAS, along with updated FMOD sounds and landing calls to the aircraft. Furthermore, there has been a re-work of the V-Speed code to improve reliability, as well as reducing the minimum AP mach number to give users more flexibility under FL180.",FSElite,FSElite,Self-awareness,Comercial
Inventories in nondefense aircraft and parts industry climb 1.7 percent in April,"Inventories for businesses in the nondefense aircraft and parts industry increase $1.2 billion, or 1.7 percent, to $69.4 billion in April, according to the U.S. Census Bureau.",Palmetto Business Daily,Palmetto Business Daily,Market,Generic
Permira acquires majority stake in HK-based aircraft parts distributor,"Global investment firm Permira on Wednesday announced that it will acquire a majority stake in Hong Kong-headquartered aircraft parts distributor, Topcast Aviation Supplies, from its founders, according to a press statement.",DEALSTREETASIA,DEALSTREETASIA,M&A,Generic
Private equity firm Permira bets on Chinese aviation growth as it buys Hong Kong aircraft parts distributor Topcast,"Private equity firm Permira said it has agreed to buy Hong Kong-based aircraft parts distributor Topcast Aviation Supplies from its founders, as it takes a bullish view on the growth of China’s aviation sector.",South China Morning Post,South China Morning Post,M&A,Generic
FACC to manufacture radomes for Airbus A220,"Austria-based FACC, a technology partner of the aerospace industry, has been commissioned by Bombardier Aviation to manufacture radomes also for the Airbus A220, in addition to the Bombardier Challenger and Global business jet families.",Aerospace Manufacturing,Aerospace Manufacturing,Contract,Generic
Honeywell to support power units for USN aircraft,"Honeywell has received a $11.5 million contract modification from the US Navy for the repair, replacement and programme support for auxiliary power units used on F/A-18A-G, P-3 Orion, and C-2 Greyhound aircraft.",Shephard Media,Shephard Media,Contract,Military
Aviation related businesses eyed in Subic airport,"The Subic Bay International Airport (SBIA) is expected to gain the attention of more corporate clients and players in the aviation industry with the opening on Monday, September 2, of a facility for aviation maintenance, repair and overhaul (MRO) services.",Sun.Star,Sun.Star,Market,Generic
Hawker Pacific secures Alliance as heavy maintenance customer,Aviation sales and support company Hawker Pacific says it will conduct heavy maintenance checks on Alliance Aviation Services’ fleet of Fokker aircraft at its Cairns workshop.,Australian Aviation,Australian Aviation,Contract,Comercial
Bombardier Highlights New Miami Center at M&O USA,"Bombardier Business Aircraft wrapped its 2019 Maintenance and Operations (M&O) USA Conference late last week in Fort Lauderdale, Florida, highlighting progress on its under-construction 300,000-sq-ft service center in Miami, as well as providing support updates on its latest models such as the Global 7500.",Aviation International News,Aviation International News,Expansion,Executive
"Airplus, Hensoldt Sign New Distribution Agreement",MRO provider Airplus Maintenance GmbH will distribute Hensoldt’s new ED155 lightweight crash recorders (LCR)—the LCR100 and LCR200—under a new agreement between the two companies.,Aviation International News,Aviation International News,Contract,Generic
"GMF makes aggressive moves to expand MRO business to Middle East, Australia","Aircraft maintenance company PT Garuda Maintenance Facility (GMF) Aero Asia is taking aggressive steps to expand its maintenance, repair and overhaul (MRO) business overseas while improving its in-house maintenance capacity in the country to cater to more airlines customers.",Jakarta Post,Jakarta Post,Expansion,Generic
"Airbus Agrees To Boost Malaysian MRO, Aerospace","Airbus has announced new aerospace investments in Malaysia, including the expansion of its MRO subsidiary Sepang Aircraft Engineering (SAE)",MRO Network,MRO Network,Expansion,Comercial
Late 2020 Mooted For MyTechnic's New Istanbul Airport Facility,The independent MRO provider is looking to establish a line maintenance operation at the recently opened airport.,MRO Network,MRO Network,Contract,Generic
"Meggitt Plans Major Expansion at Boyle County, Kentucky, Complex","Meggitt PLC, an international company specializing in high-performance components and sub-systems for aerospace, defense and selected energy markets, plans to invest nearly $82.7 million to significantly increase its commercial and military aircraft carbon brake manufacturing capacity in Boyle County, Kentucky. The project is expected to create 83 full-time jobs.",Area Development Online,Area Development Online,Expansion,Generic
APOC Aviation Re-Locates to Campus-Style Facility Between Schiphol and Rotterdam,"Topcast connects suppliers with customers in all segments of aviation including airlines, Maintenance, Repair, and Overhaul (MRO) service providers and Original Equipment Manufacturers.",AviationPros.com,AviationPros.com,Expansion,Generic
Aviation authority approves ExecuJet MRO Services,"The Civil Aviation Authority of the Cayman Islands has certified ExecuJet MRO Services Malaysia to provide light and heavy maintenance for Dassault 7X, 8X and 2000 aircraft. Vice President of ExecuJet MRO Services Asia Ivan Lim said because the Cayman Islands is one of the world’s leading civil aviation regulators and registries for business aviation aircraft, a significant number of business aviation aircraft operating in the Asia-Pacific region are Cayman Islands-registered aircraft.",Cayman Compass,Cayman Compass,Expansion,Executive
JAL Selects GE Aviation Records Management System,"Japan Airlines (JAL) has selected the GE Aviation AirVault digital records management system to store and access maintenance records across its fleet of 235 aircraft, GE announced Sept. 3.",MRO Network,MRO Network,Contract,Comercial
SierraTrax Launches New Maintenance Marketplace,"Aircraft maintenance tracking provider SierraTrax launched a maintenance marketplace service this week at the annual Citation Jet Pilots Convention held in Colorado Springs, Colorado. The new feature, exclusive to the Wichita, Kansas-based company’s customers, allows aircraft service centers to submit bids on upcoming work as indicated in the SierraTrax database. ",Aviation International News,Aviation International News,New service,Generic
Dutch startup Aiir Innovations raises €500k for its AI-based system to inspect aircraft engines,"Amsterdam-based startup Aiir Innovations has developed a smart, AI-based software system that for the inspection of aircraft engines. The company has just announced an investment of €500k from Mainport Innovation Fund II.",EU-Startups,EU-Startups,Startup,Generic
First Leap Training Engine Due At Lufthansa Technik This Month,The German MRO is gearing up for maintenance services on the CFM International Leap engine.,MRO Network,MRO Network,New service,Generic
MAX Grounding’s Demand Effect Hard To Quantify,"Aftermarket parts specialist Heico Corp. said the Boeing 737 MAX's prolonged grounding is likely helping its bottom line, but the benefits are hard to quantify and are likely offset by lost opportunities linked to the related production slowdown.",MRO Network,MRO Network,Market,Comercial
Certain Airbus A320neo's Are Facing Engine Troubles,"At the beginning of July, GoAir reached a historic milestone as it received its 50th Airbus A320. However, it’s not all good news, as the new aircraft have come with their fair share of problems and issues.",Simple Flying,Simple Flying,Reliability issues,Comercial
Avion Aero opens maintenance facility at OKC airport,"Avion Aero Holdings LLC recently signed a long-term lease for the use of a 30,000 square-foot hangar at Wiley Post Airport in Oklahoma City and is now open for business.",Tulsa World,Tulsa World,Expansion,Executive
Pratt & Whitney Engine Issues: DGCA Says It Will Take Harshest Action If Need Arises,"The Directorate General of Civil Aviation (DGCA) will take the harshest action with respect to engine issues in A320neos of IndiGo and GoAir if the need arises but for now, the problem is being contained, the regulator said in a statement today.",Defence Aviation Post,Defence Aviation Post,Legislation,Comercial
Serbia makes another attempt to sell aircraft maintenance company,"BELGRADE, Sept 2 (Reuters) - Serbia’s economy ministry invited bids on Monday for JAT Tehnika, a Belgrade-based aircraft maintenance company, following the failure of a previous attempted sale last month.",Reuters,Reuters,Contract,Generic
Star Air to expand fleet with trio of Embraer aircraft,The Bengaluru-based Star Air has placed an order for three more advanced Embraer ERJ 145 aircraft to join its current fleet in the coming months in a deal expected to further strengthen the airline’s relationship with the manufacturer.,HMG Aerospace,HMG Aerospace,Contract,Comercial
Brazil confirms will buy 28 KC-390 transport planes from Embraer,"Brazil’s government confirmed on Tuesday that the Brazilian Air Force will buy 28 KC-390 military cargo aircraft from planemaker Embraer, the first of which will be delivered on Wednesday with President Jair Bolsonaro in attendance.",Reuters,Reuters,Self-awareness,Military
"Airbus pulls out of Canada fighter jet race, boosts Lockheed Martin's chances","Airbus SE (AIR.PA) on Friday pulled out of a multibillion-dollar competition to supply Canada with 88 new fighter jets, a decision that boosts the chances of rival Lockheed Martin Corp (LMT.N).",Reuters,Reuters,Contract,Military
Crise da Boeing | 737 Max segue no solo e dando prejuízo à empresa e companhias,"Mais de seis meses após decisão de deixar todas as aeronaves Boeing 737 Max no solo, as empresas aéreas — e a própria Boeing — seguem acumulando prejuízos financeiros e agravando a situação de um dos produtos mais modernos e problemáticos da indústria aeronáutica.",Canaltech,Canaltech,Financial,Comercial
StandardAero Completes Viasat Satcom STC on Globals,"MRO provider StandardAero secured supplemental type certification (STC) for installation of Viasat Ku, Ka, or Ku/Ka satcom equipment aboard Bombardier Global models. StandardAero’s organization delegation authorization team in Springfield, Illinois, completed the STC. ",Aviation International News,Aviation International News,Regulation,Generic
Pattonair Secures Aviation Acquisition,Global aerospace and defense industry expert Pattonair has expanded its portfolio with the acquisition of aircraft spares company Adams Aviation.,AviationPros.com,AviationPros.com,M&A,Generic
Thales Becomes Latest Iridium Certus Aviation Service Provider,"Thales has become the newest Iridium Certus aviation service provider, giving the French avionics manufacturer the ability to provide both the next generation L-band terminals and services to  business jets, commercial aircraft, rotorcraft, general aviation and unmanned aircraft.",Aviation Today,Aviation Today,Contract,Generic
Economic slowdown hits aviation,"The global economic slowdown has taken its toll on Thailand's civil aviation market as growth is predicted to be only 1.2% instead of previously projected 6%, according to Aeronautical Radio of Thailand (Aerothai).",Bangkok Post,Bangkok Post,Market,Generic
Gulfstream expands Appleton MRO facility,"Gulfstream Aerospace has announced the completion of its US$40 million aircraft maintenance facility at Wisconsin’s Appleton International Airport, expanding its maintenance, repair and overhaul (MRO) operations at the site.",Business Airport International,Business Airport International,Investment,Generic
Rolls-Royce Tapped For C-130J Propulsion Sustainment | USAF Awards Boeing $500M for Qatar Air Force Training | Estonia Signs MUGS Deal,Rolls-Royce won a $48 million delivery order external link for C-130J propulsion long-term sustainment.,Defense Industry Daily,Defense Industry Daily,Contract,Military
Airbus announces new investment worth RM505 million in Msia,Airbus SE has reinforced its industrial presence in Malaysia with the announcement of investments comprising three new initiatives worth over US$120 million (RM505 million).,New Straits Times Online,New Straits Times Online,Investment,Generic
Avionics Improvements a Focus of US Helicopter Safety Team,Avionics improvements are a part of the U.S. Helicopter Safety Team's (USHST) efforts to reduce the number of fatal rotorcraft accidents.,Aviation Today,Aviation Today,Events,Other
Textron Aviation's Zurich Service Center Marks 50 Years,"Textron Aviation recently celebrated the 50th anniversary of its Zurich,.acquired in December 2012 from General Dynamics FBO, aircraft charter, maintenance,.A mechanical shop at the center performs wheel, brake, and battery repair andÂ",Aviation International News,Aviation International News,PR,Generic
Fontes não confirmadas dizem que Boeing juntou-se à IBM no conselho da Hedera Hashgraph,"A Boeing, gigante da aviação global, teria entrado para o conselho de governança da rede descentralizada empresarial Hedera Hashgraph.",Cointelegraph ,Cointelegraph ,Contract,Generic
Northrop Gets $69M Navy Modification for Hawkeye Aircraft Engineering Support,Northrop Gets $69M Navy Modification for Hawkeye Aircraft Engineering Support.potential $99.7M contract for Advanced Hawkeye support services and parts,ExecutiveBiz,ExecutiveBiz,Contract,Military
Boeing aims to strengthen engineering oversight after panel review,"Boeing Co needs to reorganize its engineering reporting lines company-wide and ensure higher ranking officials, including its CEO, get faster feedback about potential safety concerns from lower levels of the company, according to an internal review at the U.S. planemaker following two recent fatal crashes.",Reuters,Reuters,Expansion,Generic
Lockheed Martin Australia's Sikorsky operations to be expanded at Nowra,Sikorsky Australia operations at the Albatross Aviation Technology Park (AATP) are set to get bigger with the company to close its Brisbane operations in the new year and consolidate all activities in the Shoalhaven.,South Coast Register,South Coast Register,Expansion,Military
Boeing awarded $500 million Qatar F-15 support contract,"Boeing has been awarded a $500 million contract to provide aircrew and maintenance training for the Qatari Emiri Air Force’s fleet of 36 F-15QAs, the U.S. Defense Department said in a Thursday, August 28 release.",The Defense Post,The Defense Post,Contract,Military
Lockheed consolidates Sikorsky operations in Nowra,"Sikorsky Australia, a Lockheed Martin company, will close its Brisbane operations by 31 January 2020 and consolidate all activities to Nowra, adjacent to the Australian defence customer facility at HMAS Albatross.",Australian Defence Magazine,Australian Defence Magazine,Market,Military
EAA Maintains Importance of General Aviation and Safety in Comments to FAA on Amazon Petition,"Safety for manned aircraft, not commercial expediency, must be the priority for federal air regulators as they consider an exemption application by Amazon regarding package deliveries by unmanned aerial systems (UAS), noted the Experimental Aircraft Association in formal comments to the Federal Aviation Administration.",AviationPros.com,AviationPros.com,Regulation,Generic
